인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
89,89,0.034701649,0.033474249,0.249426081,0.052684453,0.044741875,1.038729541,96.46299119,84.92424777,1.600178833,1.600178833,0.688477478,0.034701649,0.033474249
90,90,0.03458399,0.033364278,0.250645792,0.052511001,0.044602979,1.046637563,96.47319075,84.94025619,1.600331726,1.600331726,0.690923767,0.03458399,0.033364278
91,91,0.03441336,0.033240357,0.251818796,0.052250929,0.044417147,1.054471344,96.59142915,85.00738299,1.600178833,1.600178833,0.693828735,0.03441336,0.033240357
92,92,0.034301606,0.033078968,0.253041434,0.052074398,0.044226811,1.062318931,96.43562404,84.93004772,1.60002594,1.60002594,0.697651062,0.034301606,0.033078968
93,93,0.034122268,0.032960051,0.254203651,0.051803787,0.044054257,1.070068461,96.59396319,85.04061131,1.600178833,1.600178833,0.698262634,0.034122268,0.032960051
94,94,0.034012119,0.032844723,0.255371047,0.051636163,0.043892395,1.077812229,96.56770798,85.00320843,1.60002594,1.60002594,0.696733704,0.034012119,0.032844723
95,95,0.033899642,0.032728381,0.256542308,0.051470519,0.043725487,1.085557261,96.54491519,84.95248837,1.60002594,1.60002594,0.686642761,0.033899642,0.032728381
96,96,0.033730805,0.032553607,0.257719506,0.051210631,0.043490901,1.093276991,96.51002096,84.92553344,1.60002594,1.60002594,0.696886597,0.033730805,0.032553607
97,97,0.033614392,0.032439271,0.258894627,0.051038777,0.043326962,1.100988805,96.50411393,84.89028315,1.600178833,1.600178833,0.687713013,0.033614392,0.032439271
98,98,0.033442981,0.032266045,0.260071563,0.050783551,0.043092063,1.108680294,96.48076664,84.8543706,1.600484619,1.600484619,0.699944458,0.033442981,0.032266045
99,99,0.033271744,0.032153571,0.261189737,0.050527225,0.042941812,1.116265706,96.63927032,84.9874745,1.60002594,1.60002594,0.686642761,0.033271744,0.032153571
100,100,0.033156219,0.032038256,0.2623077,0.050352814,0.042788081,1.123830439,96.62819531,84.97654469,1.600178833,1.600178833,0.690923767,0.033156219,0.032038256
101,101,0.033094658,0.031928811,0.263473547,0.050261789,0.042642814,1.131449413,96.47723567,84.8414175,1.600178833,1.600178833,0.68908905,0.033094658,0.031928811
102,102,0.032921614,0.031755593,0.264639568,0.050002109,0.042409566,1.139041956,96.45818931,84.81555537,1.60002594,1.60002594,0.691229553,0.032921614,0.031755593
103,103,0.032750695,0.031640086,0.265750177,0.049741147,0.042254578,1.146528525,96.60890033,84.94894091,1.60002594,1.60002594,0.688783264,0.032750695,0.031640086
104,104,0.032633721,0.031529033,0.266854864,0.049564752,0.042115437,1.15397784,96.6148885,84.97054046,1.60002594,1.60002594,0.69856842,0.032633721,0.031529033
105,105,0.032286951,0.031289165,0.26785265,0.049084099,0.041630994,1.161430945,96.90963248,84.81564191,1.60002594,1.60002594,0.691229553,0.032286951,0.031289165
106,106,0.03228945,0.031183192,0.268958908,0.049146606,0.041519011,1.16905854,96.57393269,84.47991551,1.60002594,1.60002594,0.697498169,0.03228945,0.031183192
