인덱스,사이클_번호,충전_용량(Ah),방전_용량(Ah),누적_용량(Ah),충전_에너지(Wh),방전_에너지(Wh),누적_에너지(Wh),쿨롱_효율(%),에너지_효율(%),최대_전압(V),충전_최종전압(V),방전_최종전압(V),단위_충전_용량(Ah/g),단위_방전_용량(Ah/g)
72,72,0.048623022,0.046154746,1.440258963,0.074338022,0.063548665,3.44099689,94.92364687,85.4860858,1.600178833,1.600178833,0.694440308,0.048623022,0.046154746
73,73,0.047697019,0.045496205,1.442459776,0.072944184,0.062648101,3.451292973,95.38584708,85.884984,1.600178833,1.600178833,0.691841125,0.047697019,0.045496205
74,74,0.047274742,0.045025053,1.444709465,0.072329548,0.061992934,3.461629586,95.2412452,85.70900328,1.60002594,1.60002594,0.698109741,0.047274742,0.045025053
75,75,0.047070312,0.044570392,1.447209385,0.072017014,0.061370344,3.472276256,94.68896661,85.21645232,1.60002594,1.60002594,0.692146912,0.047070312,0.044570392
76,76,0.046484296,0.044221006,1.449472675,0.071109324,0.060875408,3.482510171,95.13106576,85.60819436,1.600178833,1.600178833,0.69505188,0.046484296,0.044221006
77,77,0.045296484,0.04302529,1.451743869,0.069290186,0.059201184,3.492599173,94.9859368,85.43949401,1.60002594,1.60002594,0.695969238,0.045296484,0.04302529
78,78,0.046319344,0.043315712,1.454747501,0.070919256,0.059625582,3.503892847,93.51538329,84.07530692,1.60002594,1.60002594,0.698109741,0.046319344,0.043315712
79,79,0.044986652,0.042692483,1.45704167,0.068828246,0.058755479,3.513965614,94.90033412,85.36535857,1.600178833,1.600178833,0.694746094,0.044986652,0.042692483
80,80,0.044330433,0.042194922,1.459177182,0.067831438,0.058044111,3.523752941,95.18274202,85.57110519,1.600178833,1.600178833,0.695204773,0.044330433,0.042194922
81,81,0.044015169,0.042070561,1.46112179,0.067354888,0.057877939,3.53322989,95.58195887,85.92982657,1.600484619,1.600484619,0.692911377,0.044015169,0.042070561
82,82,0.043581264,0.041539076,1.463163978,0.066664088,0.057156987,3.542736992,95.31406879,85.73879634,1.600484619,1.600484619,0.693828735,0.043581264,0.041539076
